rosbagTimestamp,milliseconds,rate,data_0,data_1
1534358460438918145,380174,2,0,591
1534358460446792960,380175,1,0,595
1534358460447548932,380176,1,0,599
1534358460447553644,380177,1,0,603
1534358460447562086,380179,2,0,608
1534358460448392969,380180,1,0,612
1534358460451427571,380181,1,0,616
1534358460453130918,380182,1,0,620
1534358460453498842,380184,2,0,624
1534358460453505980,380185,1,0,628
1534358460453509139,380186,1,0,632
1534358460453764576,380187,1,0,636
1534358460455001612,380189,2,0,640
1534358460455585667,380190,1,0,644
1534358460457946191,380191,1,0,649
1534358460458853783,380192,1,0,653
1534358460460141820,380194,2,0,657
1534358460465495075,380195,1,0,661
1534358460466415483,380196,1,0,665
1534358460466977633,380197,1,0,669
1534358460467836869,380199,2,0,673
1534358460468041104,380200,1,0,677
1534358460468881489,380201,1,0,681
1534358460469547345,380203,2,0,684
1534358460470584340,380205,2,0,688
1534358460471257542,380206,1,0,692
1534358460471913133,380207,1,0,696
1534358460475458981,380208,1,0,700
1534358460476589427,380210,2,0,704
1534358460477704658,380211,1,0,708
1534358460479312322,380212,1,0,712
1534358460480571247,380213,1,0,716
1534358460481809667,380214,1,0,720
1534358460483098237,380216,2,0,724
1534358460484385100,380217,1,0,727
1534358460486072795,380218,1,0,731
1534358460487369794,380219,1,0,735
1534358460488732507,380221,2,0,739
1534358460490175759,380222,1,0,743
1534358460492145906,380223,1,0,746
1534358460493516042,380224,1,0,750
1534358460497493579,380226,2,0,754
1534358460498857935,380227,1,0,758
1534358460500130119,380228,1,0,762
1534358460501392080,380229,1,0,765
1534358460502669124,380231,2,0,769
1534358460504085826,380232,1,0,773
1534358460505545935,380233,1,0,777
1534358460506862526,380234,1,0,780
1534358460508315133,380236,2,0,784
1534358460509725573,380237,1,0,788
1534358460511058136,380238,1,0,792
1534358460512397511,380239,1,0,795
1534358460513773901,380241,2,0,799
1534358460515138597,380242,1,0,803
1534358460516844443,380243,1,0,806
1534358460517819306,380244,1,0,810
1534358460519417415,380247,3,0,814
1534358460520498672,380248,1,0,817
1534358460521520429,380249,1,0,821
1534358460522545188,380250,1,0,825
1534358460523487178,380252,2,0,828
1534358460524473934,380253,1,0,832
1534358460525473627,380254,1,0,835
1534358460526511751,380255,1,0,839
1534358460527477424,380257,2,0,843
1534358460531028727,380258,1,0,846
1534358460532053424,380259,1,0,850
1534358460533052928,380260,1,0,853
1534358460534042191,380262,2,0,857
1534358460535010047,380263,1,0,861
1534358460535977086,380264,1,0,864
1534358460537015990,380265,1,0,868
1534358460538024958,380267,2,0,871
1534358460548952799,380270,1,0,882
1534358460549419228,380272,2,0,885
1534358460549451507,380273,1,0,889
1534358460549748522,380274,1,0,892
1534358460549752347,380275,1,0,896
1534358460550678017,380277,2,0,899
1534358460550680818,380278,1,0,903
1534358460550707611,380279,1,0,906
1534358460550711297,380280,1,0,910
1534358460550714560,380281,1,0,913
1534358460550718011,380283,2,0,917
1534358460550721200,380284,1,0,920
1534358460551726396,380285,1,0,924
1534358460552934554,380286,1,0,927
1534358460553094597,380289,3,0,931
1534358460555351170,380290,1,0,934
1534358460555954792,380291,1,0,937
